address,floor_area,agent_name,baths,beds,price
"10 Huxley Crescent, Cork Street, The Coombe, Dublin 8",125 m²,,3 Bath,4 Bed,"€599,000 "
"Seamount Apt, 3rd Fl,1 Bed, Booterstown, Co. Dublin",47 m²,,1 Bath,1 Bed,"€350,000 "
"Orston, Orston, Dundrum Road, Dundrum, Dublin 14",152 m²,,3 Bath,4 Bed,"€925,000 "
"37 The Old Golf Links, Malahide, Co. Dublin",200 m²,,3 Bath,5 Bed,"€1,600,000 "
"120 Ard Na Mara, Malahide, Co. Dublin",153 m²,,2 Bath,4 Bed,"€975,000 "
"75 Furry Park Road, Killester, Dublin 5",161 m²,,3 Bath,4 Bed,"€775,000 "
"2 Bayswater Terrace, Sandycove, Co. Dublin",385 m²,,5 Bath,5 Bed,"€3,500,000 "
"Tonamo, 10 Munster Street, Dublin 7",176 m²,,2 Bath,5 Bed,"€545,000 "
"30 Oak Hall, Malahide, Co. Dublin",108 m²,,2 Bath,3 Bed,"€525,000 "
"77 Ballintyre Grove, Ballinteer, Dublin 16",249 m²,,4 Bath,3 Bed,"€760,000 "
"3 Convent VIew Cottages, Cabra, Dublin 7",,,2 Bath,2 Bed,"€315,000 "
"Belgrave Lodge, 1 Belgrave Terrace, Monkstown, Co. Dublin",368 m²,,4 Bath,6 Bed,"€2,475,000 "
"Apartment 7, Valencia House, North Circular Road, Dublin 7",62 m²,,1 Bath,2 Bed,"€305,000 "
"Apt 3, 40 Baggot Street Upper, Ballsbridge, Dublin 4",108 m²,,2 Bath,2 Bed,"€595,000 "
"11 Ardlea Road, Artane, Artane, Dublin 5",102 m²,,3 Bath,3 Bed,"€345,000 "
"Cranford Hall, Estuary Road, Malahide, Co. Dublin",299 m²,,2 Bath,5 Bed,"€1,400,000 "
"St. Paul's Square, Adelaide Road, Glenageary, Co. Dublin",,,,,SALE AGREED - LAST 5 BEDROOM HOUSE RESERVED AT ST PAULS SQUARE 
"One-Five On Bellevue Avenue, One-Five On Bellevue Avenue, Bellevue Avenue, Dublin 4",,,,,Stunning New Dublin 4 Houses 
"Semple  Woods, Hearse Road, Donabate, Co. Dublin",,,,,New Development Coming Soon 
"Belcamp Manor , Balgriffin, Dublin 17",,,,,"From €560,000 "
"Mooretown, Mooretown, Swords, Co. Dublin",,,,,"Mooretown, Swords "
"Seamount Rise Apartments, Seamount Drive , Malahide, Co. Dublin",,,,,Price on Application 
"Seamount Rise Apartments, Seamount Drive, Malahide, Co. Dublin",,,,,Price on Application 
"One Springfield Park, Foxrock, Dublin 18",,,,,"""LAST 2 STUNNING APARTMENTS AVAILABLE NOW "
"Graydon, Newcastle, Co. Dublin",,,,,"From €425,000 "
"Barnoaks, Citywest, Co. Dublin",,,,,Show village now open - 2 bed townhouse now available for viewing by appointment 
"Castleland Park, Balbriggan, Co. Dublin",,,,,Final 3 Bed Semi-Detached Home Available 
"Dun Oir, Glanamuck Road, Dublin 18",,,,,"Fine Selection of 3, 4 & 5 Bedroom Houses "
"Apt 1 Killiney Court Apartments, Seafield Road, Killiney, Co. Dublin",42 m²,,1 Bath,1 Bed,"€285,000 "
"26 Reuben Square, Dublin 8",55 m²,,1 Bath,1 Bed,"€260,000 "
"Apartment 104 Belfield Park, Mount Merrion, Co. Dublin",70 m²,,1 Bath,2 Bed,"€450,000 "
"Rathborne Boulevard, Ashtown, Dublin 15",,,,,FINAL 4 BEDROOM HOMES AVAILABLE 
"Old Meadow, Old Meadow, Blackrock, Co. Dublin",,,,,Price on Application 
"Trimbleston, Trimbleston, Goatstown, Dublin 14",,,,,2 Bedroom Penthouses for Sale 
"107 ratoath road , Cabra, Dublin 7",110 m²,,3 Bath,3 Bed,"€445,000 "
"The Island, Chapelizod, Dublin 20",47 m²,,1 Bath,1 Bed,"€265,000 "
"143 Merrion Road, Ballsbridge, Dublin 4",,,,,Coming Soon - Contemporary Apartments and Penthouses 
"Oatlands Manor, Oatlands Manor, Mount Merrion, Co. Dublin",,,,,Four & Five Bedroom Homes For Sale 
"Domville, Cherrywood, Co. Dublin",,,,,"From €630,000 "
"Thornhill Oaks, Cherrygarth, Mount Merrion, Co. Dublin",,,,,Luxury Living in Mount Merrion 
"Kinsealy Woods, Chapel Rd, Kinsealy, Kinsealy, Co. Dublin",,,,,Next Phase Launching Autumn/ Winter 2022 
"Brookfield, The Back Road, Malahide, Co. Dublin",,,,,"From €895,000 "
"Bolton Grove, Ballyboden Road, Rathfarnham, Rathfarnham, Dublin 14",,,,,Brand New Three Bed Duplex 119 sq. m. 
"The Meadows, Rowlestown, Swords, Co. Dublin",,,,,"From €795,000 "
"Woodbrook, Woodbrook, Shankill, Dublin 18",,,,,"3, 4 & 5 Bedroom Family Homes. "
"River View, River View, Rolestown, Co. Dublin",,,,,"From €550,000 "
"Annesley Gardens, Annesley Gardens, Ranelagh, Dublin 6",,,,,"From €1,800,000 "
"The Terrace, The Terrace, Foxrock, Dublin 18",,,,,"From €2,000,000 "
